city,location,country,pollutants,last_updated
,Yellow House Canyon 02,US,['pm25'],2024-12-19T04:06:21+00:00
,TSU ,US,['pm25'],2024-12-19T04:06:21+00:00
,Middletown Senior Center,US,['pm25'],2024-12-19T04:06:20+00:00
,Melonie Park,US,['pm25'],2024-12-19T04:06:19+00:00
,COCO 2,US,['pm25'],2024-12-19T04:06:18+00:00
,City of Golden - W. Colfax Avenue,US,['pm25'],2024-12-19T04:06:17+00:00
,Graham ES (4219),US,"['pm10', 'temperature', 'pm1', 'temperature', 'pm25']",2024-12-19T04:06:16+00:00
,Thornton Community Park ,US,['pm25'],2024-12-19T04:06:16+00:00
,CNSI Roof Top,US,['pm25'],2024-12-19T04:06:16+00:00
,North by Northwest,US,['pm25'],2024-12-19T04:06:14+00:00
,Sherman Oaks ES (6699),US,"['pm25', 'pm1', 'relativehumidity', 'pm10', 'temperature', 'temperature']",2024-12-19T04:06:13+00:00
,Klamath Falls - Peterson School Collocation 2,US,['pm25'],2024-12-19T04:06:12+00:00
,Chatman Hill 04,US,['pm25'],2024-12-19T04:06:12+00:00
,UCSF Parnassus,US,['pm25'],2024-12-19T04:06:10+00:00
,Modini ACR,US,['pm25'],2024-12-19T04:06:09+00:00
,Florin ES,US,['pm25'],2024-12-19T04:06:08+00:00
,Canfield ES (2740),US,"['pm1', 'temperature', 'pm10', 'pm25', 'temperature']",2024-12-19T04:06:08+00:00
,54th St ES (3781),US,"['temperature', 'pm1', 'pm10', 'temperature', 'pm25']",2024-12-19T04:06:07+00:00
,EH&S Roof Top,US,['pm25'],2024-12-19T04:06:06+00:00
,Nestle ES (5452),US,"['pm25', 'pm10', 'pm1', 'temperature', 'temperature']",2024-12-19T04:06:06+00:00
,BARC,US,['pm25'],2024-12-19T04:06:05+00:00
,EJ Air Community Sensor #2,US,['pm25'],2024-12-19T04:06:05+00:00
,Lowman Sp Ed Ctr (1948),US,"['pm10', 'temperature', 'temperature', 'pm25', 'pm1']",2024-12-19T04:06:05+00:00
,Topanga Canyon (7198),US,"['pm1', 'pm25', 'no2', 'pm10', 'temperature', 'temperature']",2024-12-19T04:06:05+00:00
,I25 Denver Collocation 1,US,['pm25'],2024-12-19T04:06:03+00:00
,Dixie Canyon ES (3438),US,"['temperature', 'temperature', 'pm25', 'pm10', 'pm1']",2024-12-19T04:06:02+00:00
,Vanalden ES (7411),US,"['temperature', 'temperature', 'pm10', 'pm25', 'pm1']",2024-12-19T04:06:02+00:00
,Norwood ES (5699),US,"['temperature', 'relativehumidity', 'pm1', 'temperature', 'pm10', 'pm25']",2024-12-19T04:06:02+00:00
,SCRO 5,US,['pm25'],2024-12-19T04:06:02+00:00
,CRSF (EHS Bldg),US,['pm25'],2024-12-19T04:06:00+00:00
,Dodson MS (8110),US,"['pm10', 'pm25', 'temperature', 'pm1', 'temperature', 'relativehumidity']",2024-12-19T04:06:00+00:00
,Castlebay Ln ES (2881),US,"['temperature', 'pm1', 'pm10', 'pm25', 'temperature']",2024-12-19T04:05:59+00:00
,Highway 99 & 12th Ave,US,['pm25'],2024-12-19T04:05:58+00:00
,Reseda ES (6233),US,"['pm1', 'temperature', 'relativehumidity', 'pm25', 'pm10', 'temperature']",2024-12-19T04:05:54+00:00
,San Ardo Elementary School,US,['pm25'],2024-12-19T04:05:54+00:00
